,ques,ans,ans2
621,発見当時の復元像がのちに上下、前後とも逆であったことが明らかになった、背中に並ぶトゲが特徴的な古生代カンブリア紀の生物は何でしょう？,ハルキゲニア,ハルキゲニア
622,2000年にはアフリカサッカー連盟が選出する年間最優秀選手賞を受賞している元カメルーン代表のサッカー選手で、1997年にはJリーグのガンバ大阪でプレーし得点王を獲得するなど活躍したのは誰でしょう？,パトリック・エムボマ,エムボマ
623,イギリスの技師マーク・ブルネルが船食い虫を見て考案し、テムズトンネルで初めて用いられた、強固な円筒で地盤を支えつつ掘削と壁面の構築を進め、円筒を前進させてゆくというトンネルの工法を一般に何工法というでしょう？,シールド工法,シールド
624,白川流・吉田流・伊勢流などの作り方があり、現在は和紙のものが一般的である、特殊な断ち方や折り方をして玉串や注連縄に垂らす飾りのことを何というでしょう？,紙垂,しで
625,日本の雑節の1つ「土用」とは何という言葉の略でしょう？,土旺用事,どおうようじ
626,黄河と長江を南北に結ぶ大運河を建設させたことや、607年に小野妹子ら遣隋使と謁見したとされることで知られる隋の第2代皇帝は誰でしょう？,煬帝,ようだい
627,太陽系の準惑星の名前にもなっている、ハワイ神話に登場する多産と豊穣の女神の名前は何でしょう？,ハウメア,ハウメア
628,完全変態の昆虫が「さなぎ」から「成虫」になることを何というでしょう？,羽化,うか
629,「しょ しょ 証城寺 証城寺の庭は」という歌い出しで始まる、野口雨情が作詞、中山晋平が作曲した童謡は何でしょう？,『証城寺の狸囃子』,しょうじょうじのたぬきばやし
630,男子テニスのプロツアーを運営する「男子プロテニス協会」を、アルファベット3文字の略称で何というでしょう？,ATP,ATP
631,大衆芸能分野で文化勲章を受章した初めての人物で、『知床旅情』の作詞・作曲者としても知られた、ミュージカル『屋根の上のバイオリン弾き』や喜劇映画の「社長」シリーズなどの主演作があるかつての国民的俳優は誰でしょう？,森繁久彌,もりしげひさや
632,松本悠里や轟悠など、宝塚歌劇団において、特定の組に属さずに特別出演として公演に出る生徒の集団のことを何というでしょう？,専科,せんか
633,その著書『リヴァイアサン』の中で、自然状態を「万人の万人に対する闘争」と説いたイギリスの哲学者は誰でしょう？,トマス・ホッブズ,ホッブス
634,かつての日本の「帝国大学」で最後にあたる9番目に設立されたのは何帝国大学でしょう？,名古屋帝国大学,なごや
635,日本のノーベル賞受賞者の出身大学で、福井謙一、朝永振一郎、利根川進、湯川秀樹らが卒業したのは現在の何という大学でしょう？,京都大学,きょうとだいがく
636,1974年1月15日に閉山した炭鉱のあった長崎県の島で、別名「軍艦島」として知られる島は何でしょう？,端島,はしま
637,「完全数」のうち、6、28、496に次いで4番目に小さい数は何でしょう？,8128,8128
638,シャクナゲを県の花としているのは滋賀県ですが、ネモトシャクナゲを県の花としているのはどこでしょう？,福島県,ふくしま
639,日本三名園のうち、偕楽園は茨城県にありますが、後楽園はどこの都道府県にあるでしょう？,岡山県,おかやま
640,第一次世界大戦の末期に「十四か条の平和原則」を発表するなど、ニューフリーダムと呼ばれる平和主義・進歩主義的な政策を進めたアメリカ第28代大統領は誰でしょう？,ウッドロウ・ウィルソン,ウィルソン
641,東海市は愛知県にある自治体ですが、西海市はどこの都道府県にある自治体でしょう？,長崎県,ながさき
642,イギリスのポール・ホーキンズ博士が開発し、テニスのライン判定やサッカーのゴール判定などに用いられている、複数のカメラでボールの位置や軌道を分析して審判の判定を補助する映像処理システムの名称は何でしょう？,ホークアイ,ホークアイ
643,本名を犬塚進という、1979年の日本シリーズ第7戦の攻防を取り上げたノンフィクション『江夏の21球』で知られる作家は誰でしょう？,山際淳司,やまぎわじゅんじ
644,1971年にドン・ヘンリーとグレン・フライが中心となり結成された、代表曲に『テイク・イット・イージー』『ホテル・カリフォルニア』などがあるアメリカのロックバンドは何でしょう？,イーグルス,イーグルス
645,ショパンのピアノ練習曲作品10第3番に付けられた、1934年のドイツ映画の邦題に由来する日本での愛称は何でしょう？,別れの曲,わかれのきょく
