,ques,ans
603,男性はパジ、女性はチマをはく時に上着として着用する、朝鮮半島に伝わる民族衣装は何でしょう？,チョゴリ
604,「薩長土肥」と称される藩のうち、山縣有朋、木戸孝允、伊藤博文らを輩出したのは何藩でしょう？,長州藩
605,1963年に九州地方初の政令指定都市となったのは何市でしょう？,北九州市
606,発展途上国の生産物を適正な価格で取引することにより、途上国の生産者や労働者の経済的自立を促すという運動のことを、「公正取引」を意味する英語で何というでしょう？,フェアトレード
607,「為せば成る為さねば成らぬ成る業を成らぬと捨つる人の儚き」という歌を詠んだことで知られる、甲斐武田家第19代当主を務めた人物は誰でしょう？,武田信玄
608,タラの胃袋を唐辛子やニンニクなどを合わせた調味料に漬け込んで作る韓国の珍味を、日本では一般的に何と呼ぶでしょう？,チャンジャ
609,先史時代の壁画が見られる「ショーヴェ洞窟」や「ラスコー洞窟」があるのは、ヨーロッパの何という国でしょう？,フランス
610,リラダンの小説『未来のイヴ』がその言葉を用いた初めての作品とされ、Google社が開発しているスマートフォン向けOSの名前にも使われている、「人造人間」を意味する言葉は何でしょう？,アンドロイド
611,一般には酢と醤油、みりんを混ぜ合わせて作られることが多い、酢の物などに用いられる甘みのある合わせ酢のことを何というでしょう？,三杯酢
612,クラミドモナスやミドリムシに見られる、推進力を生み出す毛状の細胞小器官のことを日本語で何というでしょう？,鞭毛
613,環状に並んだ巨石とそれを囲む土塁からなる、イギリス南部ソールズベリーにある先史時代の遺跡は何でしょう？,ストーンヘンジ
614,ローマ神話のユーピテルにあたる、ギリシャ神話の主神は誰でしょう？,ゼウス
615,三姉妹の岩、妖精の煙突、キノコ岩などの奇岩や、洞窟や地下都市の遺跡が存在し人気の観光地となっている、トルコのアナトリア高原東部に位置する地域を、その一帯の古名から一般に何と呼ぶでしょう？,カッパドキア
616,俳句で「麦秋」はどの季節の季語でしょう？,夏
617,野球で、守備番号「6番」で表されるのはどこのポジションでしょう？,ショート
618,世界三大料理といえば中華料理、フランス料理とあと1つは何でしょう？,トルコ料理
619,実写版では山田涼介、亀梨和也、松本潤、堂本剛が演じた、さとうふみや作画、天樹征丸らを原作者とする人気ミステリー漫画の主人公である高校生探偵といえば誰でしょう？,金田一一
620,「ベント・ニー」「ロス・オブ・コンタクト」といえば、何という陸上競技における反則の名前でしょう？,競歩
621,日本の国民の祝日のうち、1年の最初にあるのは何でしょう？,元日
622,伊藤博文、大隈重信とともに国会議事堂の中央広間にその銅像がある、民選議院設立建白書を提出して自由民権運動を指導し、日本初の政党内閣である第1次大隈内閣でも内務大臣を務めた明治時代の政治家は誰でしょう？,板垣退助
623,ペルー沖から中央太平洋にかけての広い海域で海面水温が高い状態が続く現象を、神の子イエス・キリストを指すスペイン語の表現を使って何現象というでしょう？,エル・ニーニョ現象
624,皆既日食において、太陽が月にすべて隠れる直前と、再び太陽が現れた直後にだけ見られる、月の影を環状に囲むコロナの1ヶ所だけが強く輝いて見える現象を、それがある宝飾品のように見えることから何というでしょう？,ダイヤモンドリング
625,実写版では片岡千恵蔵、中尾彬、石坂浩二、古谷一行らが演じた人物で、登場作品に『百日紅の下にて』『犬神家の一族』『獄門島』などがある、横溝正史により創作された名探偵といえば誰でしょう？,金田一耕助
626,1980年代にはロックバンド・BOØWYのギタリストとして活躍した、『POISON』『スリル』『バンビーナ』などのヒット曲がある日本のミュージシャンは誰でしょう？,布袋寅泰
627,孟子と並び「亜聖」とも呼ばれ、『論語』の中で「一を聞きて十を知る者」と評されている、孔子の最も優れた弟子とされる孔門十哲の1人は誰でしょう？(14%),顔回
